"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1970",2892,3467.08177754308,1667.79448444931,3066.05277267875,3267.95409796256,3356.40471321928
"1971",0,336.595670919963,274.796007840434,100.765451665684,90.876161657968,-134.391616264663
"1972",2255,3254.80938871494,1257.24178890116,1278.07247480746,934.928989340913,1101.18132244765
"1973",597,2020.68515778667,706.104738695787,276.384954471768,125.920196641382,250.968616509693
"1974",0,2101.99749529525,1269.26188905265,1239.79762434521,1201.04291914198,1498.70438456893
"1975",2558,1649.54692026622,2954.69506063635,2865.06558943193,2468.65575211728,2680.7181436868
"1976",2761,16012.1521514531,13384.1458796782,14592.5326282462,15046.1769045418,13734.0619164604
"1977",1594,2571.24326176993,7362.67555859919,4155.74611693075,4097.00092841293,3904.99902740517
"1978",951,9305.94335409095,6054.03696452995,8339.59994948191,10606.1026228318,9524.4414241364
"1979",546,1016.00311698557,1852.69484862016,1199.48294759174,1540.3999415805,1637.87284868745
"1980",0,1112.95115629493,542.943999303097,649.896048336758,226.803849679657,269.068235358882
"1981",159,2734.22502409731,2876.81472078466,2979.80628098872,3607.55462892982,3765.21902343102
"1982",509,1148.6868292252,720.517992353122,130.434622442547,69.0909233404562,239.24855055496
"1983",7478,9246.2859810983,8133.95843174847,6610.72725858712,6727.11588675031,6727.42054334023
"1984",19567,1762.21250711695,1252.14990115931,2084.59463699108,1997.7929823558,2186.66416558577
"1985",0,1845.10983202582,501.63225959134,1239.56085805531,1023.48693813826,821.066567009908
"1986",1861,1444.07716583781,1212.40867616792,1236.84189521195,1302.363169368,1418.68834280799
"1987",312,2932.67810012442,1603.30332436883,3239.95836242344,3014.95405147253,2989.69009830632
"1988",1468,1084.91194132964,847.2159467896,-293.450116990375,-205.578869414853,-135.85114296569
"1989",5229,12887.576554386,29871.9239202793,11658.7274543261,14218.757976852,12641.9511927363
"1990",0,915.949027507373,860.202584777593,1312.36802461392,1533.91361197497,1357.90570102348
"1991",87,1941.23413592868,1660.33651114668,2959.6112397836,2595.84471660554,2634.51948519046
"1992",5972,603.159437219895,532.475294582013,525.066120918615,571.910413079177,460.934718145991
